cmt_num,cmt_writer,cmt_time,cmt_txt
480804_1,칼크로스,24.04.19,역사를 아는 쿠플
480804_2,호다다다닥,24.04.19,왜 우릴…… 고맙읍니다
480804_3,더범,24.04.19,빅매치다운 초호화 게스트
480804_4,시골개,24.04.19,아 그르네 영찬선수가 안양이였지쿠플픽 되서 중계부스 하나 더 만들어야한다고 안양프런트 지금 디게 바쁘다던데리그2도 흥행타자ㅠㅠ
480804_5,포페스쿠올레,24.04.19,꽃봉오리 vs 선빵
480804_6,한라산자락,24.04.19,대박이네 2부 쿠플픽 ㄷㄷ
480804_7,Tensegrity Universe and Philosophy,24.04.19,ㅋㅋㅋㅋ
480439_1,수원삼성조유리,24.04.17,오늘 민상기 최성근 다 나올려나 ㅋㅋㅋㅋ이기제 교체까지 나와서 보는 것도 베스튼데 ㅠ
480439_2,더범,24.04.17,갓팡
480439_3,신흥동럭키가이,24.04.17,킹팡
480439_4,Tensegrity Universe and Philosophy,24.04.17,
479359_1,우주,24.04.13,오늘 직관st 스페셜데이인듯
479359_2,황의조,24.04.13,Jtbc 사고
479359_3,치얼스작성자 본인 여부작성자,24.04.13,아..  방송사고였구나 타이밍도 참 딱 맞춰 틀었네요ㅋㅋㅋ
479220_21,마우리시오 포체티노,24.04.12,프리미어리그 따오자
479220_22,David Alaba,24.04.12,헉 ㅠㅠ
479220_23,더범,24.04.12,쿠플픽 매주 해줘
479220_24,King of asia ULSAN,24.04.12,케이리그팬 무시하지마라 월 구독료 2만원 올려야 쪼끔 타격이 가지...
479220_25,축구부장,24.04.12,"K리그 팬, 축구팬이라서 이 정도는 가능"
479220_26,녹색전사,24.04.12,와우
479220_27,STEPbySTEP,24.04.12,"K리그랑 F1 보는걸로도 본전 뽑고도 남는다고 생각하는데,무료 배송 무료 반품이 서비스로 붙으니 불만 없음."
479220_28,권은비의 영스트리트,24.04.12,갑자기?
479220_29,삼색이,24.04.13,그동안 엄청 싼 거였네 ㄷㄷㄷ
479220_1,마이너스템포,24.04.12,슬슬 올라가는구먼
479220_2,권오현 대구FC 입단 추진위원회,24.04.12,이렇게 올려도 이미 노예돼서 끊을수가 없음..ㅠ
479220_3,I’d rather be ashes than dust,24.04.12,아아아앙
479220_4,축구학개론,24.04.12,"2년 뒤 15,000원 할 듯"
479220_5,박상미,24.04.12,헐
479220_6,블루윙즈지킴이,24.04.12,k리그보는데 이정도야 투자해주지
479220_7,NO.19 LEE KANG IN,24.04.12,시작되엇구만
479220_8,허윤진,24.04.12,아아..안돼..!
479220_9,리윈,24.04.12,8천원도 안되니까 괜찮긴한데 다른 ott는 끊어야겠다
479220_10,abitclosertohell,24.04.12,58% ㄷㄷ
479220_11,빗속의 노란물결,24.04.12,프리미어리그 중계권따~~만원낼께~~
479220_12,다현,24.04.12,오르는구나
479220_13,Gunnersaurus,24.04.12,또 오르네
479220_14,노윤서,24.04.12,뫄?
479220_15,Mikey Moore,24.04.12,하 유튜브도 오르고 뭐 다 올라
479220_16,덴리,24.04.12,물가생각하면 오르는 게 맞는데많이 오르네
479220_17,Suwon37Love,24.04.12,음 근데 오르는게 맞긴함.. 국대 축구에 분데스에..뭐 세리에에 F1에 여러 다른 스포츠 종목까지 중계해주고있으니
479220_18,미니언즈,24.04.12,에? 이렇게 갑자기?!컨텐츠에 비해 많이 싸긴 했지만...
479220_19,전소민,24.04.12,헐 갑자기?
479220_20,스티키,24.04.12,아니 ㅠㅠ
479218_1,바이언2,24.04.12,
478955_2,버츠비작성자 본인 여부작성자,24.04.10,그렇군요 ㅠㅠ그거 올라와야 알겠네요 ㅠㅠ
478337_1,호다다다닥,24.04.07,이런거 첨 봄
478337_2,시골개,24.04.07,그니까요 저도 왜 안하지 했는데 방송시작하고보니 경기시간이미 3분이 넘어감...
477984_1,수원삼성조유리,24.04.06,손으로 잡은쪽이 유니폼 색상이 저래서저도 순간 ㄷㄷ
476086_1,Mahomes To Kelce,24.03.30,이동국 이벤트랑은 별개로싸이랑은 쿠팡/방송사 랑 딜이 안된거 같음쿠팡이 이례적으로 ‘강력한’ 이라는 말을 써 넣은거 보면
476086_4,축구부장작성자 본인 여부작성자,24.03.30,추측컨데 아마도 이거 같습니다
476086_2,박종윤팬,24.03.30,관객을 엄창나게 중요하게 생각하는 뮤지션이라 현장 찾은 분들만 느끼게 하고 싶었다는 생각
476086_13,서울★우승,24.03.31,그건 아닐꺼예요. 서울에 왔을때는 방송 송출 되었으닌깐요.
476086_3,미니언즈,24.03.30,그렇게 이동국 이벤트가 중요했으면 싸이의 공연은 과감히 빼고 이동국 이벤트에 집중했으면 어떨까 싶네요쿠플에서도 이동국 이벤트는 다 방송에 내보낼 수 있었을텐데...
476086_5,축구부장작성자 본인 여부작성자,24.03.30,그렇죠 오히려 싸이에게 언급하게 했더라면 더 돋보였을텐데
476086_6,브라질리아,24.03.30,이동국 이벤트때문에 방송 안한게 아닌데요.. 쿠플측이랑 구단과싸이측에서 협의가 안된거에요
476086_7,축구부장작성자 본인 여부작성자,24.03.30,그렇게 느껴지는데 저 기사에는 그런말이 없어서 쓴겁니다
476086_8,브라질리아,24.03.30,축구부장중계방송에서 쿠플공지로 나왔어요!
476086_9,Mahomes To Kelce,24.03.30,축구부장그렇게 느껴지는게 아니라 윗분 말씀이 사실임
476086_10,축구부장작성자 본인 여부작성자,24.03.30,Mahomes To Kelce기사에는 그런언급이 없었다고 쓴건데
476086_11,Leno,24.03.31,저 사람 좋게 안봐서... 이것도 좋게 안보이는군요.. ㅎ
476086_12,축구부장작성자 본인 여부작성자,24.03.31,좋게 봐주세요 ㅎ
476086_14,Leno,24.03.31,축구부장ㅋㅋ 평생 절대 좋게 볼 수가 없습니다 ㅎㅎㅎㅎ사유가 있는지라..
476081_28,축구부장작성자 본인 여부작성자,24.03.31,고맙지만 조금 더 컨덴츠 늘렸으면..라고 생각합니다
476081_19,I.B.I LUV,24.03.30,컨텐츠 독점해준거 ㄱㅅㄱㅅ 잘 하고 있음
476081_21,GFYS,24.03.30,지금도 충분히 고마움
476081_22,기분이 그래서,24.03.30,개인적으로 축구만 전문적으로 해축부터 국대까지 쿠팡이 다 해먹었으면 ㅋㅋㅋㅋㅋㅋㅋ 피엘 중계권만 가져오면 대박인데
476081_23,축구부장작성자 본인 여부작성자,24.03.30,그게 저의 바램인데 SPOTV와 치열한 경쟁해야할듯요
476081_24,Mahomes To Kelce,24.03.30,NFL은 해줘야 됨
476081_25,이지금아이유,24.03.30,느플 못잃어
476081_26,전북태양,24.03.30,위클리 매거진 라운드별로 경기분석......
476081_29,박준우,24.03.31,mlb nfl은 시간대가 달라서 괜찮고 kbo 안하는게 다행이라고 생각함
476081_31,Verus,24.03.31,222
476081_1,음교수2,24.03.30,2년차입니다. 작년부터했어요.
476081_2,축구부장작성자 본인 여부작성자,24.03.30,22년 하반기부터 했을텐데요..그때 쿠팡 처음 가입했어서..
476081_4,음교수2,24.03.30,"축구부장그때는 무료중계라 네이버,아프리카에서 했었어요. 쿠팡은 23년부터 계약입니다."
476081_7,축구부장작성자 본인 여부작성자,24.03.30,음교수2아닙니다. 찾아보니 제 기억이 맞았네요 22년 중반부터 하긴 했네요.그래서 저도 쿠팡 가입했었거든요 23년부터가 쿠팡 독점이고.
476081_10,세인스,24.03.30,축구부장22년 중반부터는 사실 상 테스트 겸 송출만하는 형태였지 않나요? 쿠플만 중계진이 다르다거나 독자 콘텐츠를 제작한다거나 그런게 있었나요?
476081_17,축구부장작성자 본인 여부작성자,24.03.30,세인스계약을 22년중반부터해서 그때 토트넘도 왔었고 정식중계했습니다. 댓글에도 적었듯  독점중계는 23년부터.
476081_3,시골개,24.03.30,지금 이정도만해도 감지덕지. 체계화 갖추고 더 성장해서 아마추어리그까지 중계해줬으면 하는..
476081_5,킹덤 왕기,24.03.30,저 종목 팬들이 들으면 굉장히 화날만한 발언이네요
476081_6,축구부장작성자 본인 여부작성자,24.03.30,여기는 축구까페 국축게시판이니 괜찮죠 뭐
476081_11,나난나야!,24.03.30,축구부장뭔ㅋㅋ
476081_12,축구부장작성자 본인 여부작성자,24.03.30,나난나야!말을 똑바로 끝까지 하던지.. ㅋㅋ거리지나 말고
476081_14,abitclosertohell,24.03.30,축구 커뮤에서 축구에 집중해줬으면 좋겠다 정도는 얘기할 수 있는 거 아닐까요? 타종목을 후려친 것도 아니고 어디가 분노 포인트인지 잘
476081_18,Leno,24.03.30,여기 축구카페인데.. 다른거 비하발언 한것도 아니고 축구 집중해달라 정도 말은 충분히 할 수 있다고 생각하네요
476081_30,아닝강,24.03.31,Leno집중해달라와 다른종목 신경쓰지말자는 어감차이가 쫌 많이 나네요
476081_8,맨체스터연합,24.03.30,다 돈이된다고 판단하면 할거라 생각..
476081_9,경남도민프로축구단,24.03.30,지금 이것만으로도 충분하다고 봐요
476081_27,축구부장작성자 본인 여부작성자,24.03.30,저는 조금 부족하다고 생각합니다 주간 리뷰같은게 있었으면 합니다
476081_13,나옹,24.03.30,지금도 감지덕지
476081_15,xavi,24.03.30,돈 되는거 알아서 잘 할듯
476081_16,페드리FC바르셀로나,24.03.30,지금처럼만 해준거 자체가 고마운일이라고 생각합니다. 더 많은 컨텐츠들이 있으면 좋기는 하겠지만 지금처럼만 유지만 해줘도 좋다고 생각합니다.
476075_1,jorge teixeira,24.03.30,울산이 왜없지 ㅋ
476075_2,축구부장,24.03.30,좀 성의가 없어진건가
476075_3,포항아처,24.03.30,형이 왜 거기서 나와
476075_4,테스형아,24.03.31,인성이찐친이만든듯ㅋ
475265_1,공공칠빵으악,24.03.24,가끔가다 기름국 자본 좀 들어온 k리그 상상을 하게 되더라구요 잔디만 괜찮더라면 더 재미가 있을텐데
475265_2,나이샤샤,24.03.24,하 진짜 그놈의 공연 짜증나네여 진짜.. ㅠㅠ 오는 슈퍼스타들듀 잔디보고 도망갈듯
475265_3,이나마,24.03.24,이정도면 축구하지말라는거 같음
475265_4,JhmArsBarJuv,24.03.25,"뭔 놈의 나라가 제대로 된 공연장도 없고, 제대로 된 축구장도 없는지…"
475265_5,헌신적인악마,24.03.25,진짜공연장 하나 만들어서 축구장은 좀 냅둬라 ㅜ
475265_6,인천갈매기,24.03.25,둘을 따로 운영하는건 돈이 안되거든요.
475265_7,블랙누들,24.03.25,아근데 이번에 잔디 엉망이던데정말..
475265_8,릴카,24.03.25,FC서울 팬인데 유애나이기도 한 저는아 뭐라해야할지...
475265_9,Florence Pugh,24.03.25,바닥 갈아끼우기 신공하거나 아니면 고양 CJ 아레나를 얼른 완공을 하거나...
475265_10,Toni Kroos,24.03.25,유애나로써 미안합니다…
475265_11,시골개,24.03.25,그래도 공연시설로도 쓰려고 잔디 최소화위해 중앙은 가변이니까 그걸 활용을 하는지 안하는지가 관건. 그리고 잔디보호를 위해 투자를 더 하는지도..
475265_12,SMITHROWE,24.03.26,사실상 올림픽경기장 못쓰는게 큼
474995_1,묘느리미나리,24.03.23,유툽에 벽산 김포 경기 중계 중입니다
474995_3,묘느리미나리,24.03.23,https://www.youtube.com/live/PJob1Jun0rc?si=bL-Zeq0dmgOun0od
474995_4,Bazilak Kal Kuksu작성자 본인 여부작성자,24.03.23,오.. 고맙습니다
474995_2,축구학개론,24.03.23,협회 티비에서 하는 거 같네요
474995_5,Bazilak Kal Kuksu작성자 본인 여부작성자,24.03.23,유튭 협회 채널에서 다 하네요 감사합니다
474883_1,우만동꿀부자,24.03.20,올스타말고 리그우승팀이랑 붙자...이번 야구는 일반팀하고 붙더만
474883_3,fayewong,24.03.20,일정에 방해되지 않는선에서 린가드의 FC서울이랑 합시다
474883_7,케케로,24.03.20,일정만 무리안가면 fc서울이 젤 베스트긴하죠.. 상암에서만 할테니
