title,user_id,post_time,post,reply_cnt,reply_author,reply_content
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,고성동3가2번지,KBS 한테 따지셈 쿠플은 그냥 중계한 죄밖에 없음,2023.05.05 17:36
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,종윤사타구너,ㄴ 고성동3가2번지 아 쿠플 자체에서 한게 아니엿구나떠있는게 바로보이니 쿠플에서 ㅋㅋㅋ,2023.05.05 17:38
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,디바우러,KBS중계임ㅋㅋ,2023.05.05 17:37
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,종윤사타구너,ㄴ 디바우러 개빡치네 게비에스,2023.05.05 17:38
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,고성동3가2번지,쿠플자체중계는 대구에서 새 축협 부회장님이 해설함,2023.05.05 17:39
아 어린이날도 일하고 들어온 북패놈이다 ㅅㅂ,종윤사타구너,2023.05.05 17:35,해설 이영표 뭐임???????? 제정신들인가 쿠플 ?????,6,종윤사타구너,ㄴ 고성동3가2번지 오 감사감사,2023.05.05 17:39
쿠플얘네 풀경기 대체 언제 올리지,쿠지,2023.05.05 17:33,서울 v 전북 경기 못 봐서 지금 경기 끝나면 다시보기 돌릴랬는데 아직도 업데이트가 안 됐네,0,,,
나만쿠플지금 이상한가...,대즈어언,2023.05.05 16:55,드럽게 끊기고 화질도 왔다갔다하네..,3,킹년은다르다,나두,2023.05.05 16:55
나만쿠플지금 이상한가...,대즈어언,2023.05.05 16:55,드럽게 끊기고 화질도 왔다갔다하네..,3,나힘세지,나도비와서 그런가,2023.05.05 16:55
나만쿠플지금 이상한가...,대즈어언,2023.05.05 16:55,드럽게 끊기고 화질도 왔다갔다하네..,3,개랑김주찬,나도 그럼 서울전북 볼때부터 그럼,2023.05.05 16:55
