cmt_num,cmt_writer,cmt_time,cmt_txt
479287_1,호다다다닥,24.04.13,생으로 알고 있어요
479287_2,미니언즈,24.04.13,당일 오전에 찍거나 좀 전에 찍은듯한 사녹장면도 틀어주기도 합니다
479281_1,fcpohangsteelers,24.04.13,평소보다 어수선 하긴 하네요
479252_2,전문키커 이세은★,24.04.13,ㄷㄷㄷㄷㄷ
479252_3,다이나믹피치,24.04.13,찬양 쿠플ㅎㄷㄷ상향가 K리그ㅜㅜ
479252_4,더범,24.04.13,
479181_22,이태석이승준,24.04.12,근데 안양에 이경규 사위(김영찬 선수) 뛰고 있어서 경규옹 보러오겠네
479181_23,털스토이,24.04.13,게스트는 김상호 배우나 표창원 부르쟈
479181_1,한라산자락,24.04.10,2부 쿠플픽 ㄷㄷ
479181_2,Xeneizes,24.04.10,2부 쿠플픽! ㄷㄷㄷ
479181_3,박종윤팬,24.04.10,2부가도 쿠플픽 볼수 있다니 ㅎㅎㅎ
479181_5,Suwon37Love,24.04.10,헉
479181_6,The Ade,24.04.10,와 2부 중계 서러웠는데 ㅠㅠ
479181_7,W ROONEY,24.04.10,옛날 안양lg랑 수원삼성은 무슨 더비라 했나요?
479181_8,검은콩순두부,24.04.10,지지대더비
479181_9,래비드,24.04.10,지지대더비 입니다
479181_10,호다다다닥,24.04.10,
479181_11,Gunnersaurus,24.04.10,이야 이걸 2부에서 보네 ㅋㅋ
479181_12,더범,24.04.11,꿀잼예감
479181_13,칼크로스,24.04.11,기획자가 정말 K리그에 대해 관심 많고 잘 아는 분인거 같아요
479181_14,마니치,24.04.11,K리그2에도 쿠플픽이!!!!
479181_15,Tensegrity Universe and Philosophy,24.04.11,
479181_16,gangwonfc,24.04.11,전쟁이다 ㅋㅋ 꿀잼ㄱㄱ
479181_17,사파동창원축구센터,24.04.11,2부로 쿠플픽을 ㄷㄷ
479181_18,abitclosertohell,24.04.11,헉
479181_19,abitclosertohell,24.04.11,2부 중계하는 배성재 한준희 ㄷㄷㄷ
479181_20,달려라 하니,24.04.11,진정한 전통더비라고 생각
479181_21,이태석이승준,24.04.12,헉
476705_1,축구부장,24.04.01,"야구는 3연전,2연전이니 오히려 슈퍼시리즈..이게 더 말이되는데"
476705_2,인천의혼,24.04.01,그러네여..?!
476705_5,황의조,24.04.01,시리즈 다 중계하는 건 아니라서..
476705_3,인천팬이당,24.04.01,"사실 종목도 다르고 해서 크게 상관은 없는데 일은 못하는거 같음 ㅋㅋㅋ 윗분이 얘기했듯이 슈퍼시리즈라고 하든가...슈퍼매치라 하면 너무 범용적인 용어라 티빙의 무엇이가로 밀기도 쉽지않고, 이미 생각나는 매치가 있어서..."
476705_4,릭앤모티,24.04.01,슈퍼라는걸 독점하려는게 너무 억지긴 함
476705_6,K리그사랑축구사랑,24.04.01,모르고 쓰진 않을겁니다. 그냥 케이리그의 설움임. 슈퍼매치 흥행한 후에 야구계에서도 벤치마킹해서 일부러라도 라이벌매치 더 만들려고하죠
476144_1,fayewong,24.03.31,공용계정일지도 ㅋㅋ
476144_2,Mikey Moore,24.03.31,양말에 이름ㅋㅋ
476144_4,케빈대북라이너작성자 본인 여부작성자,24.03.31,한글로 린가드 ㅋㅋ
476144_3,올림픽예선 찢자,24.03.31,부상인가요?
476144_6,케빈대북라이너작성자 본인 여부작성자,24.03.31,네 가벼운 부상이랍니다
476144_5,엄지공주 오무지,24.03.31,그 와중에 플스는 신형으로 구입했네
476144_8,fayewong,24.03.31,디지털버전으로 안했다는건 ....집에있는 타이틀 가져온건가 ㅋㅋ
476144_7,Clarence Seedorf,24.03.31,서울살이 좋니?
476081_28,축구부장작성자 본인 여부작성자,24.03.31,고맙지만 조금 더 컨덴츠 늘렸으면..라고 생각합니다
476081_19,I.B.I LUV,24.03.30,컨텐츠 독점해준거 ㄱㅅㄱㅅ 잘 하고 있음
476081_21,GFYS,24.03.30,지금도 충분히 고마움
476081_22,기분이 그래서,24.03.30,개인적으로 축구만 전문적으로 해축부터 국대까지 쿠팡이 다 해먹었으면 ㅋㅋㅋㅋㅋㅋㅋ 피엘 중계권만 가져오면 대박인데
476081_23,축구부장작성자 본인 여부작성자,24.03.30,그게 저의 바램인데 SPOTV와 치열한 경쟁해야할듯요
476081_24,Mahomes To Kelce,24.03.30,NFL은 해줘야 됨
476081_25,이지금아이유,24.03.30,느플 못잃어
