단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수,라운드
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,부산 아이파크,대전 시티즌,부산 아시아드,맑음,12.8℃,9082,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,인천 Utd,광주 FC,인천축구전용경기장,맑음,8.4℃,8012,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,전북 현대,성남 FC,전주월드컵경기장,맑음,12.4℃,23810,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,울산 현대,FC 서울,울산문수축구경기장,구름조금,12.3℃,12786,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,전남 드래곤즈,제주 Utd,광양전용구장,구름조금,15.5℃,12608,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,수원 삼성,포항 스틸러스,수원월드컵경기장,구름조금,16℃,17573,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,FC 서울,전북 현대,서울월드컵경기장,맑음,11.6℃,32516,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,수원 삼성,인천 Utd,수원월드컵경기장,맑음,11.6℃,10207,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,성남 FC,전남 드래곤즈,탄천종합운동장,맑음,11.6℃,6521,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,대전 시티즌,광주 FC,대전월드컵경기장,구름조금,15.9℃,11857,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,포항 스틸러스,울산 현대,포항스틸야드,구름조금,16.1℃,19227,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,제주 Utd,부산 아이파크,제주월드컵경기장,구름조금,14℃,15047,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,부산 아이파크,광주 FC,부산 아시아드,맑음,20.9℃,5038,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,울산 현대,전남 드래곤즈,울산문수축구경기장,맑음,21.5℃,5233,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,제주 Utd,대전 시티즌,제주월드컵경기장,맑음,17.5℃,5948,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,인천 Utd,전북 현대,인천축구전용경기장,맑음,12.8℃,9039,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,포항 스틸러스,FC 서울,포항스틸야드,맑음,17.2℃,16674,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,성남 FC,수원 삼성,탄천종합운동장,맑음,15℃,8369,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,FC 서울,제주 Utd,서울월드컵경기장,흐림,18.5℃,22155,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,수원 삼성,부산 아이파크,수원월드컵경기장,비,18.7℃,10708,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,전북 현대,포항 스틸러스,전주월드컵경기장,비,19.9℃,16638,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,대전 시티즌,성남 FC,대전월드컵경기장,비,18.2℃,1441,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,05,일,전남 드래곤즈,인천 Utd,광양전용구장,비,13.5℃,4336,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,05,일,울산 현대,광주 FC,울산문수축구경기장,비,13.8℃,4824,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,성남 FC,부산 아이파크,탄천종합운동장,맑음,20.7℃,3135,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,제주 Utd,포항 스틸러스,제주월드컵경기장,맑음,17.6℃,6078,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,대전 시티즌,울산 현대,대전월드컵경기장,맑음,22.4℃,3780,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,광주 FC,전북 현대,목포 축구센터,비,19.2℃,3064,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,전남 드래곤즈,수원 삼성,광양전용구장,비,19.2℃,6486,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,인천 Utd,FC 서울,인천축구전용경기장,구름많음,19.9℃,9767,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,부산 아이파크,전북 현대,부산 아시아드,맑음,19.6℃,2038,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,제주 Utd,광주 FC,제주월드컵경기장,구름조금,20.3℃,3013,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,울산 현대,수원 삼성,울산문수축구경기장,맑음,22.9℃,3401,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,포항 스틸러스,전남 드래곤즈,포항스틸야드,비,18.9℃,5731,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,FC 서울,대전 시티즌,서울월드컵경기장,비,17℃,7186,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,성남 FC,인천 Utd,탄천종합운동장,비,18.4℃,1902,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,광주 FC,성남 FC,목포 축구센터,비,19.3℃,1158,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,수원 삼성,FC 서울,수원월드컵경기장,구름조금,22.8℃,26250,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,전북 현대,제주 Utd,전주월드컵경기장,비,25.5℃,13120,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,대전 시티즌,포항 스틸러스,대전월드컵경기장,비,16.7℃,1800,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,인천 Utd,울산 현대,인천축구전용경기장,비,17.7℃,2352,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,부산 아이파크,전남 드래곤즈,부산 아시아드,비,17.2℃,1598,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,25,토,인천 Utd,포항 스틸러스,인천축구전용경기장,맑음,18.2℃,5407,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,25,토,울산 현대,부산 아이파크,울산문수축구경기장,맑음,23.9℃,3259,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,26,일,전남 드래곤즈,전북 현대,광양전용구장,맑음,23.1℃,6772,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,26,일,광주 FC,FC 서울,목포 축구센터,맑음,23.1℃,2409,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,26,일,수원 삼성,대전 시티즌,수원월드컵경기장,맑음,25.8℃,11792,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,26,일,성남 FC,제주 Utd,탄천종합운동장,맑음,25.8℃,2969,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,02,토,FC 서울,성남 FC,서울월드컵경기장,비,26℃,18441,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,02,토,전북 현대,수원 삼성,전주월드컵경기장,비,28.5℃,30410,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,03,일,대전 시티즌,인천 Utd,대전월드컵경기장,비,21.8℃,3219,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,03,일,광주 FC,전남 드래곤즈,광주축구전용구장,비,20.5℃,3117,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,05,화,포항 스틸러스,부산 아이파크,포항스틸야드,맑음,23.6℃,15853,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,05,화,제주 Utd,울산 현대,제주월드컵경기장,구름조금,18.5℃,20013,9
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,09,토,광주 FC,수원 삼성,광주축구전용구장,비,25.3℃,2884,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,09,토,인천 Utd,제주 Utd,인천축구전용경기장,구름조금,19.1℃,8178,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,09,토,전남 드래곤즈,대전 시티즌,광양전용구장,비,23.6℃,4642,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,10,일,포항 스틸러스,성남 FC,포항스틸야드,맑음,25.2℃,6214,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,10,일,부산 아이파크,FC 서울,부산 아시아드,맑음,19.4℃,9123,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,10,일,울산 현대,전북 현대,울산문수축구경기장,맑음,20.6℃,7012,10
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,16,토,전북 현대,대전 시티즌,전주월드컵경기장,맑음,26.9℃,13722,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,16,토,FC 서울,전남 드래곤즈,서울월드컵경기장,맑음,25.2℃,17819,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,16,토,성남 FC,울산 현대,탄천종합운동장,맑음,25.6℃,3528,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,16,토,수원 삼성,제주 Utd,수원월드컵경기장,맑음,25.6℃,11217,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,17,일,광주 FC,포항 스틸러스,광주축구전용구장,구름많음,27℃,2114,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,17,일,부산 아이파크,인천 Utd,부산 아시아드,구름조금,24.1℃,4052,11
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,23,토,전북 현대,인천 Utd,전주월드컵경기장,구름많음,26.9℃,13543,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,23,토,제주 Utd,전남 드래곤즈,제주월드컵경기장,흐림,21.7℃,8543,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,24,일,광주 FC,부산 아이파크,광주축구전용구장,구름조금,29.1℃,1869,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,25,월,울산 현대,포항 스틸러스,울산문수축구경기장,맑음,29.7℃,7145,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,30,토,전남 드래곤즈,부산 아이파크,광양전용구장,비,23.6℃,4073,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,30,토,포항 스틸러스,대전 시티즌,포항스틸야드,비,23.6℃,5772,12
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,30,토,광주 FC,제주 Utd,광주축구전용구장,비,22.9℃,3096,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,31,일,인천 Utd,수원 삼성,인천축구전용경기장,구름조금,24.6℃,10704,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,31,일,FC 서울,울산 현대,서울월드컵경기장,구름조금,30.4℃,18413,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,05,31,일,성남 FC,전북 현대,탄천종합운동장,구름조금,29℃,8116,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,전남 드래곤즈,광주 FC,광양전용구장,구름조금,25.2℃,4460,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,포항 스틸러스,전북 현대,포항스틸야드,구름조금,28.6℃,7219,13
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,FC 서울,인천 Utd,서울월드컵경기장,구름조금,29.4℃,5023,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,제주 Utd,성남 FC,제주월드컵경기장,비,25.5℃,4472,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,대전 시티즌,수원 삼성,대전월드컵경기장,구름조금,27.5℃,1240,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,03,수,부산 아이파크,울산 현대,부산 아시아드,구름조금,28℃,1521,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,06,토,인천 Utd,전남 드래곤즈,인천축구전용경기장,구름조금,25.9℃,3026,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,06,토,전북 현대,FC 서울,전주월드컵경기장,맑음,30.2℃,13286,14
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,06,토,대전 시티즌,부산 아이파크,대전월드컵경기장,구름조금,29.3℃,1092,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,07,일,성남 FC,포항 스틸러스,탄천종합운동장,구름조금,30.5℃,2330,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,07,일,수원 삼성,광주 FC,수원월드컵경기장,구름조금,30.5℃,6538,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,07,일,울산 현대,제주 Utd,울산문수축구경기장,구름많음,25.1℃,5826,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,10,수,대전 시티즌,FC 서울,대전월드컵경기장,구름조금,35℃,958,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,13,토,수원 삼성,성남 FC,수원월드컵경기장,비,29.7℃,7563,15
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,제주 Utd,수원 삼성,제주월드컵경기장,비,21.6℃,1274,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,전남 드래곤즈,성남 FC,광양전용구장,비,24.2℃,1460,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,포항 스틸러스,인천 Utd,포항스틸야드,흐림,28.6℃,4288,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,전북 현대,울산 현대,전주월드컵경기장,비,27.9℃,4928,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,대전 시티즌,광주 FC,대전월드컵경기장,비,27.7℃,763,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,17,수,FC 서울,부산 아이파크,서울월드컵경기장,비,30.8℃,4267,16
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,20,토,전남 드래곤즈,FC 서울,광양전용구장,비,22.2℃,2794,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,20,토,부산 아이파크,포항 스틸러스,부산 아시아드,비,22.9℃,1467,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,20,토,성남 FC,광주 FC,탄천종합운동장,비,22.3℃,1593,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,21,일,수원 삼성,전북 현대,수원월드컵경기장,맑음,29.9℃,16141,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,21,일,대전 시티즌,제주 Utd,대전월드컵경기장,구름조금,28.7℃,1439,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,21,일,울산 현대,인천 Utd,울산문수축구경기장,구름많음,24.2℃,2542,17
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,27,토,울산 현대,성남 FC,울산문수축구경기장,구름많음,23.4℃,3136,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,27,토,포항 스틸러스,광주 FC,포항스틸야드,구름많음,27.1℃,6275,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,27,토,부산 아이파크,제주 Utd,부산 아시아드,비,23.5℃,1896,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,27,토,FC 서울,수원 삼성,서울월드컵경기장,구름조금,31.1℃,39328,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,28,일,전북 현대,전남 드래곤즈,전주월드컵경기장,구름조금,28.1℃,13602,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,06,28,일,인천 Utd,대전 시티즌,인천축구전용경기장,구름조금,26.3℃,3466,18
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,전남 드래곤즈,포항 스틸러스,광양전용구장,비,24.3℃,3460,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,제주 Utd,FC 서울,제주월드컵경기장,비,26.3℃,4527,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,성남 FC,대전 시티즌,탄천종합운동장,구름조금,27.8℃,2725,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,수원 삼성,울산 현대,수원월드컵경기장,구름조금,27.8℃,7128,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,전북 현대,부산 아이파크,전주월드컵경기장,비,25.8℃,8120,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,01,수,인천 Utd,광주 FC,인천축구전용경기장,맑음,25.3℃,1623,19
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,04,토,포항 스틸러스,수원 삼성,포항스틸야드,구름조금,27℃,12359,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,04,토,부산 아이파크,성남 FC,부산 아시아드,흐림,23.6℃,1374,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,04,토,제주 Utd,인천 Utd,제주월드컵경기장,흐림,24.4℃,6182,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,05,일,전남 드래곤즈,울산 현대,광양전용구장,구름많음,25.5℃,4370,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,05,일,대전 시티즌,전북 현대,대전월드컵경기장,비,30.2℃,2557,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,05,일,FC 서울,광주 FC,서울월드컵경기장,구름조금,29.6℃,11587,20
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,인천 Utd,부산 아이파크,인천축구전용경기장,흐림,25.9℃,2006,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,성남 FC,FC 서울,탄천종합운동장,비,25.8℃,6054,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,포항 스틸러스,제주 Utd,포항스틸야드,비,22.9℃,3354,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,전북 현대,광주 FC,전주월드컵경기장,비,26.9℃,8907,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,울산 현대,대전 시티즌,울산문수축구경기장,비,22.1℃,1524,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,08,수,수원 삼성,전남 드래곤즈,수원월드컵경기장,비,25.8℃,7209,21
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,11,토,제주 Utd,전북 현대,제주월드컵경기장,비,26.4℃,1011,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,11,토,울산 현대,광주 FC,울산문수축구경기장,비,30.4℃,2450,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,11,토,FC 서울,포항 스틸러스,서울월드컵경기장,구름많음,36℃,17913,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,12,일,부산 아이파크,수원 삼성,부산 아시아드,비,24.7℃,1248,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,12,일,대전 시티즌,전남 드래곤즈,대전월드컵경기장,비,26.6℃,1404,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,12,일,인천 Utd,성남 FC,인천축구전용경기장,비,26.1℃,2725,22
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,25,토,포항 스틸러스,광주 FC,포항스틸야드,구름조금,33.2℃,6328,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,25,토,FC 서울,인천 Utd,서울월드컵경기장,비,26.4℃,10454,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,25,토,울산 현대,성남 FC,울산문수축구경기장,구름조금,32.5℃,6610,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,26,일,전남 드래곤즈,제주 Utd,광양전용구장,맑음,31.3℃,5409,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,26,일,부산 아이파크,대전 시티즌,부산 아시아드,구름조금,30.4℃,3247,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,07,26,일,전북 현대,수원 삼성,전주월드컵경기장,구름조금,32.4℃,31192,23
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,광주 FC,전남 드래곤즈,광주축구전용구장,비,28.6℃,1539,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,전북 현대,부산 아이파크,전주월드컵경기장,비,28.4℃,11754,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,인천 Utd,포항 스틸러스,인천축구전용경기장,맑음,30.1℃,5229,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,울산 현대,FC 서울,울산문수축구경기장,비,23.2℃,3480,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,수원 삼성,대전 시티즌,수원월드컵경기장,맑음,33.4℃,17148,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,12,수,성남 FC,제주 Utd,탄천종합운동장,맑음,33.4℃,6119,24
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,15,토,대전 시티즌,성남 FC,대전월드컵경기장,구름조금,33.6℃,6393,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,15,토,전남 드래곤즈,인천 Utd,광양전용구장,맑음,30.9℃,6715,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,15,토,포항 스틸러스,전북 현대,포항스틸야드,구름조금,32.8℃,15328,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,16,일,부산 아이파크,울산 현대,부산 아시아드,비,30.5℃,4353,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,16,일,제주 Utd,수원 삼성,제주월드컵경기장,비,28.1℃,4348,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,광주 FC,대전 시티즌,광주축구전용구장,흐림,29.5℃,1216,25
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,부산 아이파크,FC 서울,부산 아시아드,흐림,29.7℃,4382,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,수원 삼성,성남 FC,수원월드컵경기장,흐림,30.1℃,7418,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,전북 현대,전남 드래곤즈,전주월드컵경기장,흐림,30.2℃,14912,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,인천 Utd,제주 Utd,인천축구전용경기장,흐림,29.8℃,3021,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,19,수,울산 현대,포항 스틸러스,울산문수축구경기장,흐림,28.2℃,4520,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,22,토,전북 현대,인천 Utd,전주월드컵경기장,흐림,27.7℃,23113,26
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,22,토,FC 서울,대전 시티즌,서울월드컵경기장,구름많음,29.6℃,17986,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,22,토,수원 삼성,울산 현대,수원월드컵경기장,비,30.3℃,13253,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,22,토,성남 FC,부산 아이파크,탄천종합운동장,비,30.3℃,8179,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,23,일,전남 드래곤즈,포항 스틸러스,광양전용구장,비,28℃,4184,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,23,일,광주 FC,제주 Utd,광주축구전용구장,흐림,28.9℃,2635,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,29,토,제주 Utd,FC 서울,제주월드컵경기장,구름많음,27.5℃,8379,27
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,29,토,광주 FC,울산 현대,광주축구전용구장,구름조금,29.4℃,1759,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,29,토,부산 아이파크,전남 드래곤즈,부산 아시아드,구름조금,27.5℃,2351,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,29,토,인천 Utd,대전 시티즌,인천축구전용경기장,맑음,28.3℃,5598,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,30,일,성남 FC,전북 현대,탄천종합운동장,맑음,31.4℃,12187,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,08,30,일,포항 스틸러스,수원 삼성,포항스틸야드,구름많음,30.1℃,14341,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,전남 드래곤즈,성남 FC,광양전용구장,맑음,26.5℃,2802,28
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,부산 아이파크,수원 삼성,부산 아시아드,맑음,28℃,1562,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,FC 서울,포항 스틸러스,서울월드컵경기장,맑음,30.1℃,9566,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,광주 FC,인천 Utd,광주축구전용구장,맑음,28.1℃,1419,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,대전 시티즌,제주 Utd,대전월드컵경기장,맑음,28.4℃,2055,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,09,수,울산 현대,전북 현대,울산문수축구경기장,구름조금,25.6℃,17108,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,12,토,수원 삼성,인천 Utd,수원월드컵경기장,비,24℃,11372,29
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,12,토,포항 스틸러스,성남 FC,포항스틸야드,비,20.7℃,4874,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,12,토,전북 현대,FC 서울,전주월드컵경기장,비,21.8℃,26433,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,13,일,제주 Utd,울산 현대,제주월드컵경기장,맑음,24.4℃,5372,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,13,일,광주 FC,부산 아이파크,광주축구전용구장,맑음,24.2℃,1544,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,13,일,전남 드래곤즈,대전 시티즌,광양전용구장,맑음,25.2℃,4037,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,19,토,인천 Utd,부산 아이파크,인천축구전용경기장,맑음,27℃,5951,30
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,19,토,수원 삼성,FC 서울,수원월드컵경기장,맑음,28.5℃,29046,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,19,토,제주 Utd,포항 스틸러스,제주월드컵경기장,구름조금,25.8℃,7127,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,19,토,울산 현대,전남 드래곤즈,울산문수축구경기장,구름많음,26.5℃,18031,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,19,토,성남 FC,광주 FC,탄천종합운동장,맑음,28.5℃,4666,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,20,일,전북 현대,대전 시티즌,전주월드컵경기장,구름조금,25.6℃,16582,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,인천 Utd,울산 현대,인천축구전용경기장,흐림,25.6℃,4566,31
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,FC 서울,성남 FC,서울월드컵경기장,구름많음,26.1℃,8792,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,부산 아이파크,제주 Utd,부산 아시아드,비,22.5℃,1837,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,대전 시티즌,포항 스틸러스,대전월드컵경기장,흐림,23.8℃,1886,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,광주 FC,전북 현대,광주축구전용구장,비,20.8℃,2233,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,23,수,전남 드래곤즈,수원 삼성,광양전용구장,비,21.3℃,1865,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,09,28,월,FC 서울,광주 FC,서울월드컵경기장,구름많음,28.3℃,17061,32
KLEAGUE,K LEAGUE 1,2015 시즌,2015,10,04,일,포항 스틸러스,부산 아이파크,포항스틸야드,구름많음,24.3℃,8117,33
