관중수,연도,쿠팡
13978.5,2015,0
15895.833333333334,2015,0
8383.5,2015,0
10017.0,2015,0
5385.0,2015,0
3878.5,2015,0
7713.0,2015,0
5434.666666666667,2015,0
15175.5,2015,0
6342.166666666667,2015,0
8742.0,2015,0
6824.166666666667,2015,0
8668.0,2015,0
4761.333333333333,2015,0
4051.1666666666665,2015,0
2830.0,2015,0
4329.333333333333,2015,0
11283.833333333334,2015,0
4597.166666666667,2015,0
6404.833333333333,2015,0
4842.333333333333,2015,0
4458.5,2015,0
10540.0,2015,0
7544.833333333333,2015,0
6392.166666666667,2015,0
9561.0,2015,0
9102.666666666666,2015,0
6506.333333333333,2015,0
7180.333333333333,2015,0
8035.166666666667,2015,0
13336.333333333334,2015,0
5612.333333333333,2015,0
8599.0,2015,0
6946.0,2015,0
6619.333333333333,2015,0
7458.5,2015,0
9704.333333333334,2015,0
6238.333333333333,2015,0
13865.333333333334,2016,0
15358.0,2016,0
9696.833333333334,2016,0
5492.166666666667,2016,0
6419.666666666667,2016,0
6024.5,2016,0
3850.1666666666665,2016,0
10331.333333333334,2016,0
10325.0,2016,0
7289.166666666667,2016,0
5987.166666666667,2016,0
11539.333333333334,2016,0
8809.0,2016,0
5179.333333333333,2016,0
12207.333333333334,2016,0
7162.333333333333,2016,0
6516.0,2016,0
2759.5,2016,0
11120.5,2016,0
8167.833333333333,2016,0
6283.5,2016,0
8441.0,2016,0
8859.333333333334,2016,0
6186.5,2016,0
11130.0,2016,0
4546.833333333333,2016,0
5129.666666666667,2016,0
10032.0,2016,0
10544.5,2016,0
7371.0,2016,0
5659.166666666667,2016,0
8420.166666666666,2016,0
4015.8333333333335,2016,0
6032.833333333333,2016,0
5837.0,2016,0
5597.5,2016,0
5305.0,2016,0
11650.166666666666,2016,0
16392.166666666668,2017,0
11013.5,2017,0
6969.333333333333,2017,0
7464.166666666667,2017,0
6272.666666666667,2017,0
7126.666666666667,2017,0
5848.666666666667,2017,0
6664.333333333333,2017,0
8606.5,2017,0
4478.333333333333,2017,0
5048.0,2017,0
5828.166666666667,2017,0
8417.333333333334,2017,0
6196.5,2017,0
5217.0,2017,0
7593.0,2017,0
1967.0,2017,0
5994.5,2017,0
6034.5,2017,0
5334.166666666667,2017,0
5000.166666666667,2017,0
3305.1666666666665,2017,0
8538.5,2017,0
5464.5,2017,0
5011.833333333333,2017,0
10380.5,2017,0
5484.166666666667,2017,0
9638.5,2017,0
3411.0,2017,0
4753.166666666667,2017,0
8299.833333333334,2017,0
4728.0,2017,0
3911.0,2017,0
4949.666666666667,2017,0
7303.333333333333,2017,0
